user,location,text,sentiment,probability
lilito2002,BOGOTA,"#CadenaDeAfectosPorPetro Dios te bendiga, te proteja, cuide y todo salga bien. #FuerzaPetro",Positivo,73
PrensaCriterio,Colombia,"Desde Cuba, reportan cirugía exitosa a Gustavo Petro https://t.co/fOV4qYRovJ #cadenadeafectosporpetro",Positivo,61
JIROS79,,"similar a la persecución q se le hace a .@petrogustavo X parte/ la sra. .@MIsabelRueda quien ayer se despachó contra éste, y hoy después operación notariada, no dice una palabra sobre el asunto 

#FuerzaPetro 

#CadenaDeAfectosPorPetro 

#SigamonosLosBuenos2020",Positivo,64
JIROS79,,"#CuarentenaEnSoledadEs 

Preguntar a .@WRadioCoIombia  Xq' la ojeriza con todo lo q tiene q ver con .@carlosecaicedo enseña línea editorial contra el sr.  

#FuerzaPetro 

#CadenaDeAfectosPorPetro 

#SigamonosLosBuenos2020 https://t.co/ZBz1ggAboU",Positivo,68
pierrealee,Barranquilla - Santa Marta ,"Esperando los resultados del diagnóstico #Medico de @petrogustavo, a callarle la boca a los canallas #CadenaDeAfectosPorPetro",Positivo,68
PetroElCacas,Come Mierda ,"Amigos! No se preocupen, ya me curé! Lo que tenia era un pedazo de caca atascado en la garganta. 

He decidido dejárselo a lo médicos cubanos en agradecimiento por haberlo extirpado. #CadenaDeAfectosPorPetro https://t.co/LIYAbC87YO",Positivo,72
verlainelopez,,Una oración al altísimo por la salud de Petro #CadenaDeAfectosPorPetro,Positivo,62
blues_pablo,"Wien, Österreich","Calibans Freundeskreis_
La endoscopia que le hicieron a Petro se demoró 25 días porque estaba esperando que saliera la remisión de la EPS a la clínica Cubana. 

Maldita ley 100 !!! 

#NoPasarán #CadenaDeAfectosPorPetro",Positivo,63
LuzA66099787,"Bogotá, D.C., Colombia",Dr. Petro Próximo presidente! Bendiciones. #CadenaDeAfectosPorPetro,Positivo,76
JIROS79,,"Ehhh ave María,no lo hubiese dicho d mejor manera
Adhiero completamente a dicha petición

#NoMasCircoPorkysALas6

#DuqueInepto 

#FuerzaPetro 

#CadenaDeAfectosPorPetro

#SigamonosLosBuenos2020 https://t.co/CDH54YyXJf",Positivo,76
