user,location,text
lilito2002,BOGOTA,"#CadenaDeAfectosPorPetro Dios te bendiga, te proteja, cuide y todo salga bien. #FuerzaPetro"
PrensaCriterio,Colombia,"Desde Cuba, reportan cirugía exitosa a Gustavo Petro https://t.co/fOV4qYRovJ #cadenadeafectosporpetro"
JIROS79,,"similar a la persecución q se le hace a .@petrogustavo X parte/ la sra. .@MIsabelRueda quien ayer se despachó contra éste, y hoy después operación notariada, no dice una palabra sobre el asunto 

#FuerzaPetro 

#CadenaDeAfectosPorPetro 

#SigamonosLosBuenos2020"
JIROS79,,"#CuarentenaEnSoledadEs 

Preguntar a .@WRadioCoIombia  Xq' la ojeriza con todo lo q tiene q ver con .@carlosecaicedo enseña línea editorial contra el sr.  

#FuerzaPetro 

#CadenaDeAfectosPorPetro 

#SigamonosLosBuenos2020 https://t.co/ZBz1ggAboU"
pierrealee,Barranquilla - Santa Marta ,"Esperando los resultados del diagnóstico #Medico de @petrogustavo, a callarle la boca a los canallas #CadenaDeAfectosPorPetro"
PetroElCacas,Come Mierda ,"Amigos! No se preocupen, ya me curé! Lo que tenia era un pedazo de caca atascado en la garganta. 

He decidido dejárselo a lo médicos cubanos en agradecimiento por haberlo extirpado. #CadenaDeAfectosPorPetro https://t.co/LIYAbC87YO"
verlainelopez,,Una oración al altísimo por la salud de Petro #CadenaDeAfectosPorPetro
blues_pablo,"Wien, Österreich","Calibans Freundeskreis_
La endoscopia que le hicieron a Petro se demoró 25 días porque estaba esperando que saliera la remisión de la EPS a la clínica Cubana. 

Maldita ley 100 !!! 

#NoPasarán #CadenaDeAfectosPorPetro"
LuzA66099787,"Bogotá, D.C., Colombia",Dr. Petro Próximo presidente! Bendiciones. #CadenaDeAfectosPorPetro
JIROS79,,"Ehhh ave María,no lo hubiese dicho d mejor manera
Adhiero completamente a dicha petición

#NoMasCircoPorkysALas6

#DuqueInepto 

#FuerzaPetro 

#CadenaDeAfectosPorPetro

#SigamonosLosBuenos2020 https://t.co/CDH54YyXJf"
Louis_Peralma,"Madrid, Spain.",@petrogustavo estamos contigo Presidente legítimo. #CadenaDeAfectosPorPetro
JIROS79,,"Sabes mujer,q' corriente ideológica y política profesa 

Dl Uribismo se puede esperar cualquier esperpento

#DuqueInepto 

#FuerzaPetro 

#CadenaDeAfectosPorPetro 

#SigamonosLosBuenos2020 https://t.co/p154X5sVFs"
OGalvisC,Colombia,"Una vez más @petrogustavo tiene la razón!!!
#FuerzaPetro 
#FuerzaPetroEstamosContigo 
#CadenaDeAfectosPorPetro https://t.co/yGLl8k9rDr"
